district_code,district_name,party,candidate_last,candidate_first
35078,Sarnia--Lambton,Liberal,Fugard,Tim
35078,Sarnia--Lambton,Green,van Bodegom,Tim
35078,Sarnia--Lambton,NDP,White,Brian
35079,Sault Ste. Marie,Conservative,Hayes,Bryan
35079,Sault Ste. Marie,Green,Macmichael,Luke
35079,Sault Ste. Marie,NDP,Martin,Tony
35079,Sault Ste. Marie,Liberal,Provenzano,Christian
35079,Sault Ste. Marie,Christian Heritage,Riauka,Randy
35079,Sault Ste. Marie,Marxist-Leninist,Taffarel,Mike
35080,Scarborough--Agincourt,Liberal,Karygiannis,Jim
35080,Scarborough--Agincourt,NDP,Patchell,Nancy
35080,Scarborough--Agincourt,Green,Thompson,Pauline
35080,Scarborough--Agincourt,Conservative,Tsai,Harry
35081,Scarborough Centre,Liberal,Cannis,John
35081,Scarborough Centre,NDP,Hundt,Natalie
35081,Scarborough Centre,Conservative,James,Roxanne
35081,Scarborough Centre,Green,Ng,Ella
35082,Scarborough--Guildwood,Green,Bartley,Alonzo
35082,Scarborough--Guildwood,Independent,Coulbeck,Paul
35082,Scarborough--Guildwood,Conservative,Konkel,Chuck
35082,Scarborough--Guildwood,Liberal,McKay,John
35082,Scarborough--Guildwood,NDP,Ouellette,Danielle
35083,Scarborough--Rouge River,Independent,Balack,Mark
35083,Scarborough--Rouge River,Conservative,Gallyot,Marlene
35083,Scarborough--Rouge River,Liberal,Sarkar,Rana
35083,Scarborough--Rouge River,Green,Singh,George B.
35083,Scarborough--Rouge River,NDP,Sitsabaiesan,Rathika
35084,Scarborough Southwest,Green,Dixon,Stefan
35084,Scarborough Southwest,NDP,Harris,Dan
35084,Scarborough Southwest,Conservative,Paranchothy,Gavan
35084,Scarborough Southwest,Liberal,Simson,Michelle
35085,Simcoe--Grey,NDP,Austin,Katy
35085,Simcoe--Grey,Canadian Action,Cochrane,Gord
35085,Simcoe--Grey,No Affiliation,Guergis,Helena
35085,Simcoe--Grey,Conservative,Leitch,Kellie
35085,Simcoe--Grey,Green,Metheral,Jace
35085,Simcoe--Grey,Liberal,Smardenka,Alex
35085,Simcoe--Grey,Christian Heritage,Vander Zaag,Peter
35086,Simcoe North,NDP,Banigan,Richard
35086,Simcoe North,Liberal,Clarke,Steve
35086,Simcoe North,Christian Heritage,Kooger,Adrian
35086,Simcoe North,Green,Powell,Valerie
35086,Simcoe North,Conservative,Stanton,Bruce
35087,Stormont--Dundas--South Glengarry,Liberal,Clement,Bernadette
35087,Stormont--Dundas--South Glengarry,Libertarian,Donnelly,Darcy Neal
35087,Stormont--Dundas--South Glengarry,Conservative,Lauzon,Guy
35087,Stormont--Dundas--South Glengarry,NDP,Leclerc,Mario
35087,Stormont--Dundas--South Glengarry,Green,Walsh,Wyatt Joseph
35088,Sudbury,Liberal,Hartman,Carol
35088,Sudbury,First Peoples National,Morin,Will
35088,Sudbury,Independent,Popescu,J. David
35088,Sudbury,Conservative,Slade,Fred
35088,Sudbury,NDP,Thibeault,Glenn
35088,Sudbury,Green,Twilley,Fred
35089,Thornhill,Conservative,Kent,Peter
35089,Thornhill,Green,Koehl,Norbert
35089,Thornhill,Liberal,Mock,Karen
35089,Thornhill,NDP,Strelchik,Simon
35089,Thornhill,Animal Alliance Environment Voters,White,Liz
35090,Thunder Bay--Rainy River,Liberal,Boshcoff,Ken
35090,Thunder Bay--Rainy River,Conservative,Comuzzi-Stehmann,Moe
35090,Thunder Bay--Rainy River,NDP,Rafferty,John
35090,Thunder Bay--Rainy River,Green,Shields,Ed
35091,Thunder Bay--Superior North,Marijuana,Carrière,Denis A.
35091,Thunder Bay--Superior North,Liberal,Fricot,Yves
35091,Thunder Bay--Superior North,Conservative,Harvey,Richard
35091,Thunder Bay--Superior North,NDP,Hyer,Bruce
35091,Thunder Bay--Superior North,Green,Kyle,Scot
35092,Timmins--James Bay,NDP,Angus,Charlie
35092,Timmins--James Bay,Green,Bennett,Lisa
35092,Timmins--James Bay,Conservative,Greenberg,Bill
35092,Timmins--James Bay,Liberal,Wood,Marilyn
35093,Toronto Centre,Libertarian,Falardeau,Judi
35093,Toronto Centre,Marxist-Leninist,Fernandez,Philip
35093,Toronto Centre,Communist,Holliday,Catherine
35093,Toronto Centre,Green,Michelson,Ellen
35093,Toronto Centre,Conservative,Moore,Kevin
35093,Toronto Centre,Liberal,Rae,Bob
35093,Toronto Centre,NDP,Wallace,Susan
35093,Toronto Centre,Independent,Yazdanfar,Bahman
35094,Toronto--Danforth,Animal Alliance Environment Voters,Crawford,Marie
35094,Toronto--Danforth,Liberal,Lang,Andrew
35094,Toronto--Danforth,NDP,Layton,Jack
35094,Toronto--Danforth,Green,Mugnatto-Hamu,Adriana
35094,Toronto--Danforth,Conservative,von Koenig,Katarina
35095,Trinity--Spadina,Green,Barney,Rachel
35095,Trinity--Spadina,Libertarian,Brown,Chester
35095,Trinity--Spadina,NDP,Chow,Olivia
35095,Trinity--Spadina,Liberal,Innes,Christine
35095,Trinity--Spadina,Marxist-Leninist,Lin,Nick
35095,Trinity--Spadina,Conservative,Siow,Gin
35096,Vaughan,Conservative,Fantino,Julian
35096,Vaughan,Liberal,Ferri,Mario
35096,Vaughan,NDP,Pratt,Mark
35096,Vaughan,Green,Rodriguez-Larrain,Claudia
35097,Welland,NDP,Allen,Malcolm
35097,Welland,Independent,Game,Ray
35097,Welland,Liberal,Maloney,John
35097,Welland,Christian Heritage,Vangoolen,David
35097,Welland,Conservative,Villella,Leanna
35097,Welland,Marxist-Leninist,Walker,Ron J.
35097,Welland,Green,Williamson,Robin
35098,Wellington--Halton Hills,Green,Bouteiller,Brent
35098,Wellington--Halton Hills,Conservative,Chong,Michael
35098,Wellington--Halton Hills,Liberal,Peters,Barry
35098,Wellington--Halton Hills,Christian Heritage,Streutker,Jeffrey
35098,Wellington--Halton Hills,NDP,Zavarella,Anastasia
35099,Whitby--Oshawa,Liberal,Bardens,Trevor
35099,Whitby--Oshawa,Conservative,Flaherty,Jim
35099,Whitby--Oshawa,Green,Harrison,Rebecca
35099,Whitby--Oshawa,Libertarian,Insang,Josh
35099,Whitby--Oshawa,NDP,McAuliffe,Trish
35100,Willowdale,Liberal,Hall Findlay,Martha
35100,Willowdale,Conservative,Leung,Chungsen
35100,Willowdale,NDP,Mollahasani,Mehdi
35101,Windsor--Tecumseh,Marxist-Leninist,Chesnik,Laura
35101,Windsor--Tecumseh,NDP,Comartin,Joe
35101,Windsor--Tecumseh,Conservative,Ghanam,Denise
35101,Windsor--Tecumseh,Liberal,Kusmierczyk,Irek
35101,Windsor--Tecumseh,Green,Prestanski,Kyle
35102,Windsor West,Liberal,Deveau,Melanie
35102,Windsor West,Green,Fox,Alishia
35102,Windsor West,Conservative,Lumley,Lisa
35102,Windsor West,NDP,Masse,Brian
35102,Windsor West,Marxist-Leninist,Villamizar,Margaret
35103,York Centre,Conservative,Adler,Mark
35103,York Centre,NDP,Brownlee,Nick
35103,York Centre,Liberal,Dryden,Ken
35103,York Centre,Green,Frei,Rosemary
35104,York--Simcoe,Green,Dewar,John
35104,York--Simcoe,NDP,Gerl,Sylvia
35104,York--Simcoe,Christian Heritage,Gunn,Vicki
35104,York--Simcoe,United,Pisani,Paul
35104,York--Simcoe,Conservative,Van Loan,Peter
35104,York--Simcoe,Liberal,Wesley-Esquimaux,Cynthia
35105,York South--Weston,Green,Day,Sonny
35105,York South--Weston,Conservative,Saweczko,Jilian
35105,York South--Weston,NDP,Sullivan,Mike
35105,York South--Weston,Liberal,Tonks,Alan
35106,York West,NDP,Manfrini,Giulio
35106,York West,Christian Heritage,Otura,George Okoth
35106,York West,Liberal,Sgro,Judy
35106,York West,Canadian Action,Smitherman,Arthur
35106,York West,Green,Tibbin,Unblind Kheper Keseb
35106,York West,Conservative,Walters,Audrey
46001,Brandon--Souris,Green,Barnes,Dave
46001,Brandon--Souris,NDP,Bouché,John
46001,Brandon--Souris,Liberal,Penner,Wes
46001,Brandon--Souris,Conservative,Tweed,Merv
46002,Charleswood--St. James--Assiniboia,Liberal,Clement,Rob
46002,Charleswood--St. James--Assiniboia,Green,Enns,Denali
46002,Charleswood--St. James--Assiniboia,Conservative,Fletcher,Steven
46002,Charleswood--St. James--Assiniboia,NDP,Paulley,Tom
46003,Churchill,NDP,Ashton,Niki
46003,Churchill,Conservative,Daudrich,Wally
46003,Churchill,Liberal,Garrioch,Sydney
46003,Churchill,Green,Spence,Alberteen
46004,Dauphin--Swan River--Marquette,Liberal,Menzies,Wendy
46004,Dauphin--Swan River--Marquette,NDP,Osborne,Cheryl
46004,Dauphin--Swan River--Marquette,Conservative,Sopuck,Robert
46004,Dauphin--Swan River--Marquette,Green,Storey,Kate
46005,Elmwood--Transcona,NDP,Maloway,Jim
46005,Elmwood--Transcona,Liberal,Niemczyk,Ilona
46005,Elmwood--Transcona,Conservative,Toet,Lawrence
46005,Elmwood--Transcona,Green,Young,Ellen
46006,Kildonan--St. Paul,Liberal,Andres,Victor
46006,Kildonan--St. Paul,NDP,Devine,Rachelle
46006,Kildonan--St. Paul,Independent,Hiebert,Eduard
46006,Kildonan--St. Paul,Independent,Ryall,Brett
46006,Kildonan--St. Paul,Conservative,Smith,Joy
46006,Kildonan--St. Paul,Green,Weinberg,Alon David
46007,Portage--Lisgar,NDP,Alli,Mohamed
46007,Portage--Lisgar,Christian Heritage,Dondo,Jerome
46007,Portage--Lisgar,Green,Friesen,Matthew
46007,Portage--Lisgar,Conservative,Hoeppner,Candice
46007,Portage--Lisgar,Liberal,Willard,M.J.
46008,Provencher,Green,Gibson,Janine
46008,Provencher,Liberal,Hayward,Terry
46008,Provencher,Pirate,Lim,Ric
46008,Provencher,NDP,Mackling,Al
46008,Provencher,Christian Heritage,Reimer,David
46008,Provencher,Conservative,Toews,Vic
46009,Saint Boniface,Conservative,Glover,Shelly
46009,Saint Boniface,NDP,Miniely,Patrice
46009,Saint Boniface,Green,Payette,Marc
46009,Saint Boniface,Liberal,Simard,Raymond
46010,Selkirk--Interlake,Conservative,Bezan,James
46010,Selkirk--Interlake,Liberal,Geisler,Duncan
46010,Selkirk--Interlake,NDP,Palsson,Sean
46010,Selkirk--Interlake,Green,Winstone,Don
46011,Winnipeg Centre,NDP,Martin,Pat
46011,Winnipeg Centre,Conservative,Pitura,Bev
46011,Winnipeg Centre,Communist,Rankin,Darrell
46011,Winnipeg Centre,Green,Romanow,Jacqueline
46011,Winnipeg Centre,Liberal,Wise,Allan
46012,Winnipeg North,NDP,Blaikie,Rebecca
46012,Winnipeg North,Green,Harvie,John
46012,Winnipeg North,Communist,Komarniski,Frank
46012,Winnipeg North,Liberal,Lamoureux,Kevin
46012,Winnipeg North,Conservative,Matejicka,Ann
46013,Winnipeg South,Conservative,Bruinooge,Rod
46013,Winnipeg South,Liberal,Duguid,Terry
46013,Winnipeg South,NDP,Gaudreau,Dave
46013,Winnipeg South,Green,McIntyre,Caitlin
46014,Winnipeg South Centre,Conservative,Bateman,Joyce
46014,Winnipeg South Centre,Independent,Froese,Lyndon B.
46014,Winnipeg South Centre,Independent,Henderson,Matt
46014,Winnipeg South Centre,NDP,Lewycky,Dennis
46014,Winnipeg South Centre,Green,McNeil,Joshua
46014,Winnipeg South Centre,Liberal,Neville,Anita
47001,Battlefords--Lloydminster,Green,Kratchmer,Norbert
47001,Battlefords--Lloydminster,Liberal,LaPlante,Jordan
47001,Battlefords--Lloydminster,Conservative,Ritz,Gerry
47001,Battlefords--Lloydminster,NDP,Tait,Glenn
47002,Blackstrap,NDP,Moore,Darien
47002,Blackstrap,Green,Setyo,Shawn
47002,Blackstrap,Liberal,Walker,Deborah J.
47002,Blackstrap,Conservative,Yelich,Lynne
47003,Desnethé--Missinippi--Churchill River,Conservative,Clarke,Rob Gordon
47003,Desnethé--Missinippi--Churchill River,NDP,Joseph,Lawrence
47003,Desnethé--Missinippi--Churchill River,Liberal,Lafond,Gabe
47003,Desnethé--Missinippi--Churchill River,Green,Morin,George
47004,Cypress Hills--Grasslands,Conservative,Anderson,David
47004,Cypress Hills--Grasslands,Liberal,Filson,Duane
47004,Cypress Hills--Grasslands,NDP,Peterson,Trevor
47004,Cypress Hills--Grasslands,Green,Scott,Helmi
47005,Palliser,Conservative,Boughen,Ray
47005,Palliser,Liberal,Collicott,Russ
47005,Palliser,NDP,Evanchuk,Noah Patrick
47005,Palliser,Green,Shasko,Larissa
47006,Prince Albert,Canadian Action,Batley,Craig Leonard
47006,Prince Albert,Green,Brazier,Myk
47006,Prince Albert,Conservative,Hoback,Randy
47006,Prince Albert,NDP,Mushinski,Valerie
47006,Prince Albert,Liberal,Wassill,Ron
47007,Regina--Lumsden--Lake Centre,Conservative,Lukiwski,Tom
47007,Regina--Lumsden--Lake Centre,Liberal,Lysack,Monica
47007,Regina--Lumsden--Lake Centre,Green,Patterson,Billy
47007,Regina--Lumsden--Lake Centre,NDP,Sklar,Brian
47008,Regina--Qu'Appelle,Independent,Breti,Jeff
47008,Regina--Qu'Appelle,Green,Chatterson,Greg
47008,Regina--Qu'Appelle,NDP,Clipsham,Fred
47008,Regina--Qu'Appelle,Liberal,Miller,Jackie
47008,Regina--Qu'Appelle,Conservative,Scheer,Andrew
47009,Saskatoon--Humboldt,Green,Finley,Sandra
47009,Saskatoon--Humboldt,Liberal,Hill,Darren
47009,Saskatoon--Humboldt,NDP,Kouri,Denise
47009,Saskatoon--Humboldt,Independent,Pankiw,Jim
47009,Saskatoon--Humboldt,Conservative,Trost,Brad
47010,Saskatoon--Rosetown--Biggar,Conservative,Block,Kelly
47010,Saskatoon--Rosetown--Biggar,Liberal,Reaney,Lee
47010,Saskatoon--Rosetown--Biggar,Green,Strelioff,Vicki
47010,Saskatoon--Rosetown--Biggar,NDP,Wiebe,Nettie
47011,Saskatoon--Wanuskewin,Green,Bigland-Pritchard,Mark
47011,Saskatoon--Wanuskewin,NDP,Parry,John
47011,Saskatoon--Wanuskewin,Conservative,Vellacott,Maurice
47011,Saskatoon--Wanuskewin,Liberal,Zipchen,Patricia
47012,Souris--Moose Mountain,NDP,Arthur,Allan
47012,Souris--Moose Mountain,Liberal,Borrowman,Gerald
47012,Souris--Moose Mountain,Green,Deptuck,Bob
47012,Souris--Moose Mountain,Conservative,Komarnicki,Ed
47013,Wascana,Green,Clary,Bill
47013,Wascana,Liberal,Goodale,Ralph
47013,Wascana,Conservative,Shields,Ian
47013,Wascana,NDP,Spooner,Marc
47014,Yorkton--Melville,Liberal,Andreychuk,Kash
47014,Yorkton--Melville,Conservative,Breitkreuz,Garry
47014,Yorkton--Melville,Green,Hughes,Elaine
47014,Yorkton--Melville,NDP,Ottenbreit,Douglas
48001,Fort McMurray--Athabasca,Green,Asterisk,Jule
48001,Fort McMurray--Athabasca,Conservative,Jean,Brian
48001,Fort McMurray--Athabasca,NDP,Wilting,Berend
48001,Fort McMurray--Athabasca,Liberal,Young,Karen
48002,Calgary East,NDP,Brown,Al
48002,Calgary East,Communist,Devine,Jason
48002,Calgary East,Green,Milton,Scott W.
48002,Calgary East,Conservative,Obhrai,Deepak
48002,Calgary East,Liberal,Petrunic,Josipa
48003,Calgary Centre-North,Marxist-Leninist,Askin,Peggy
48003,Calgary Centre-North,Green,MacIntosh,Heather
48003,Calgary Centre-North,Liberal,Randall,Stephen James
48003,Calgary Centre-North,Conservative,Rempel,Michelle
48003,Calgary Centre-North,NDP,Vargis,Paul
48004,Calgary Northeast,Marxist-Leninist,Blanchard,Daniel
48004,Calgary Northeast,Green,Brown-Eckersley,Sheila
48004,Calgary Northeast,Conservative,Shory,Devinder
48004,Calgary Northeast,NDP,Singh,Colette
48004,Calgary Northeast,Liberal,Stewart,Cam
48005,Calgary--Nose Hill,Conservative,Ablonczy,Diane
48005,Calgary--Nose Hill,NDP,Anderson,Collin
48005,Calgary--Nose Hill,Green,Hajj,Tony
48005,Calgary--Nose Hill,Liberal,McLeod,Margaret
48006,Calgary Centre,Green,Hamilton,William
48006,Calgary Centre,NDP,Montgomery,Donna Marlis
48006,Calgary Centre,Liberal,Pollock,Jennifer
48006,Calgary Centre,Conservative,Richardson,Lee
48007,Calgary Southeast,Western Block,Fromm,Paul
48007,Calgary Southeast,Independent,Grochowski,Antoni
48007,Calgary Southeast,Conservative,Kenney,Jason
48007,Calgary Southeast,Liberal,MacPhee,Brian N.
48007,Calgary Southeast,NDP,Oates,Kirk
48007,Calgary Southeast,Green,Spencer,Brett
48008,Calgary Southwest,Green,Christie,Kelly
48008,Calgary Southwest,Conservative,Harper,Stephen J
48008,Calgary Southwest,Independent,Heather,Larry R.
48008,Calgary Southwest,NDP,Heffernan,Holly
48008,Calgary Southwest,Liberal,Lamontagne,Marlene
48009,Calgary West,Conservative,Anders,Robert
48009,Calgary West,Liberal,Kinch,Janice
48009,Calgary West,NDP,Knowles,Shawna
48009,Calgary West,Marxist-Leninist,Vachon,André
48009,Calgary West,Green,Wagner,Anna Lisa
48010,Crowfoot,Christian Heritage,Groenendijk,Gerard
48010,Crowfoot,Liberal,Harb,Omar
48010,Crowfoot,NDP,Parker,Ellen
48010,Crowfoot,Green,Schellenberg,Konrad
48010,Crowfoot,Conservative,Sorenson,Kevin A
48010,Crowfoot,Independent,Turner,John C.
48011,Edmonton--Mill Woods--Beaumont,NDP,Bailey,Nadine
48011,Edmonton--Mill Woods--Beaumont,Green,Baxter,Christa
48011,Edmonton--Mill Woods--Beaumont,Liberal,Butler,Mike
48011,Edmonton--Mill Woods--Beaumont,Conservative,Lake,Mike
48011,Edmonton--Mill Woods--Beaumont,Communist,Rankin,Naomi
48011,Edmonton--Mill Woods--Beaumont,Pirate,Schaffrick,Brent
48012,Edmonton Centre,NDP,Cardinal,Lewis
48012,Edmonton Centre,Conservative,Hawn,Laurie
48012,Edmonton Centre,Liberal,MacDonald,Mary
48012,Edmonton Centre,Marxist-Leninist,Morton,Peggy
48012,Edmonton Centre,Green,Parker,David James
48012,Edmonton Centre,Pirate,Paulson,Mikkel
48013,Edmonton East,Green,Capnerhurst,Trey
48013,Edmonton East,Conservative,Goldring,Peter
48013,Edmonton East,NDP,Martin,Ray
48013,Edmonton East,Liberal,Ruda,Shafik
48014,Edmonton--Leduc,Liberal,Fahlman,Richard
48014,Edmonton--Leduc,Green,Kennedy,Valerie
48014,Edmonton--Leduc,NDP,Medvedev,Artem
48014,Edmonton--Leduc,Conservative,Rajotte,James
48015,Edmonton--St. Albert,Green,Johnston,Peter
48015,Edmonton--St. Albert,NDP,LaBelle,Brian
48015,Edmonton--St. Albert,Conservative,Rathgeber,Brent
48015,Edmonton--St. Albert,Liberal,Taron,Kevin
48016,Edmonton--Sherwood Park,Independent,Ford,James
48016,Edmonton--Sherwood Park,NDP,Scott,Mike
48016,Edmonton--Sherwood Park,Western Block,St. Laurent,Paul
48016,Edmonton--Sherwood Park,Liberal,Szostak,Rick
48016,Edmonton--Sherwood Park,Conservative,Uppal,Tim
48016,Edmonton--Sherwood Park,Green,Vallee,Chris
48017,Edmonton--Spruce Grove,Conservative,Ambrose,Rona
48017,Edmonton--Spruce Grove,Liberal,Austin,Chris
48017,Edmonton--Spruce Grove,NDP,Chaulk-Stokes,Catherine
48017,Edmonton--Spruce Grove,Green,Lund,Joshua
48018,Edmonton--Strathcona,NDP,Duncan,Linda
48018,Edmonton--Strathcona,Green,Fehr,Andrew
48018,Edmonton--Strathcona,Conservative,Hastman,Ryan
48018,Edmonton--Strathcona,Marxist-Leninist,Hunter,Kevan
48018,Edmonton--Strathcona,Independent,Murphy,Kyle
48018,Edmonton--Strathcona,Liberal,Sinclair,Matthew
48018,Edmonton--Strathcona,Independent,White,Christopher
48019,Lethbridge,Green,Bartlett,Cailin
48019,Lethbridge,Christian Heritage,Capp,Geoffrey
48019,Lethbridge,Liberal,Cormican,Michael
48019,Lethbridge,Conservative,Hillyer,Jim
48019,Lethbridge,NDP,Sandilands,Mark
48020,Macleod,Progressive Canadian,Carrigan,Brad
48020,Macleod,NDP,Giles,Janine
48020,Macleod,Liberal,Hankel,Nicole
48020,Macleod,Conservative,Menzies,Ted
48020,Macleod,Green,Nagy,Attila
48020,Macleod,Christian Heritage,Slingerland,Marc
48021,Medicine Hat,Liberal,Boucher,Norm
48021,Medicine Hat,Green,Murray,Graham
48021,Medicine Hat,Conservative,Payne,LaVar
48021,Medicine Hat,NDP,Perrier,Dennis
48021,Medicine Hat,Christian Heritage,VandeStroet,Frans
48022,Peace River,Rhinoceros,Eckstrom,Donovan
48022,Peace River,Liberal,Ganton,Corina
48022,Peace River,Green,Kamieniecki,Wayne John
48022,Peace River,Independent,Toews,Russ
48022,Peace River,NDP,Villebrun,Jennifer
48022,Peace River,Conservative,Warkentin,Chris
48023,Red Deer,Conservative,Dreeshen,Earl
48023,Red Deer,Liberal,Lineker,Andrew
48023,Red Deer,Green,Sisson,Mason Connor
48023,Red Deer,NDP,Somerville,Stuart
48024,Vegreville--Wainwright,Conservative,Benoit,Leon
48024,Vegreville--Wainwright,Green,Munsey,William
48024,Vegreville--Wainwright,Christian Heritage,Sokalski,Matthew
48024,Vegreville--Wainwright,NDP,Stone,Ray A
48024,Vegreville--Wainwright,Liberal,Williams,Ron
48025,Westlock--St. Paul,Liberal,Fox,Rob
48025,Westlock--St. Paul,Green,Grant,Lisa
48025,Westlock--St. Paul,NDP,Henderson,Lyndsey Ellen
48025,Westlock--St. Paul,Conservative,Storseth,Brian
48026,Wetaskiwin,Liberal,Anderson,Christopher
48026,Wetaskiwin,Conservative,Calkins,Blaine
48026,Wetaskiwin,Green,Johnston,Robert
48026,Wetaskiwin,NDP,Robson,Tim
48027,Wild Rose,NDP,Horvath,Jeff
48027,Wild Rose,Green,MacDonald,Mike
48027,Wild Rose,Liberal,Reilly,John Douglas
48027,Wild Rose,Conservative,Richards,Blake
48027,Wild Rose,Christian Heritage,Vanden Broek,Randy
48028,Yellowhead,Canadian Action,Brade,Melissa
48028,Yellowhead,Conservative,Merrifield,Rob
48028,Yellowhead,Green,Schaefer,Monika
48028,Yellowhead,Liberal,Siezmagraff,Zack
48028,Yellowhead,Christian Heritage,Strydhorst,Jacob
48028,Yellowhead,NDP,Wells,Mark
59001,Abbotsford,Green,Bryce,Daniel
59001,Abbotsford,Conservative,Fast,Ed
59001,Abbotsford,Liberal,Hardin,Madeleine
59001,Abbotsford,Marxist-Leninist,MacKay,David
59001,Abbotsford,NDP,Murray,David Alan
59002,Burnaby--Douglas,Libertarian,Dahlby,Lewis Clarke
59002,Burnaby--Douglas,Communist,Gidora,George
59002,Burnaby--Douglas,Conservative,Leung,Ronald
59002,Burnaby--Douglas,Liberal,Low,Ken
59002,Burnaby--Douglas,Green,Merlo,Adrianne
59002,Burnaby--Douglas,Marxist-Leninist,Sproule,Brian
59002,Burnaby--Douglas,NDP,Stewart,Kennedy
59003,Burnaby--New Westminster,Liberal,Evans,Garth
59003,Burnaby--New Westminster,Conservative,Forseth,Paul
59003,Burnaby--New Westminster,NDP,Julian,Peter
59003,Burnaby--New Westminster,Green,McLaren,Carrie
59003,Burnaby--New Westminster,Libertarian,Pierce,Tyler
59003,Burnaby--New Westminster,Marxist-Leninist,Theriault,Joseph
59004,Cariboo--Prince George,Conservative,Harris,Dick
59004,Cariboo--Prince George,Liberal,Lalli,Sangeeta
59004,Cariboo--Prince George,Green,Redl,Heidi
59004,Cariboo--Prince George,Independent,Ronan,Jon
59004,Cariboo--Prince George,Christian Heritage,Thiessen,Henry
59004,Cariboo--Prince George,Rhinoceros,Turner,Jordan
59004,Cariboo--Prince George,NDP,Van Barneveld,Jon
59005,Chilliwack--Fraser Canyon,Western Block,Edwards,Clive
59005,Chilliwack--Fraser Canyon,Green,Hoskins,Jamie
59005,Chilliwack--Fraser Canyon,Liberal,Janzen,Diane
59005,Chilliwack--Fraser Canyon,Marxist-Leninist,O'Donnell,Dorothy-Jean
59005,Chilliwack--Fraser Canyon,NDP,O'Mahony,Gwen
59005,Chilliwack--Fraser Canyon,Conservative,Strahl,Mark
59006,Delta--Richmond East,Liberal,Beesley,Alan
59006,Delta--Richmond East,Conservative,Findlay,Kerry-Lynne
59006,Delta--Richmond East,Green,Laird,Duane
59006,Delta--Richmond East,Libertarian,Monds,Jeff
59006,Delta--Richmond East,No Affiliation,Shavluk,John
59006,Delta--Richmond East,NDP,Slater,Nic
59007,Pitt Meadows--Maple Ridge--Mission,Liberal,Bhuller,Mandeep
59007,Pitt Meadows--Maple Ridge--Mission,Conservative,Kamp,Randy
59007,Pitt Meadows--Maple Ridge--Mission,NDP,Speirs,Craig
59007,Pitt Meadows--Maple Ridge--Mission,Green,Tam,Peter
59008,Esquimalt--Juan de Fuca,Conservative,DeSouza,Troy
59008,Esquimalt--Juan de Fuca,NDP,Garrison,Randall C.
59008,Esquimalt--Juan de Fuca,Independent,Lesosky,Louis James
59008,Esquimalt--Juan de Fuca,Canadian Action,Porter,Christopher Robert
59008,Esquimalt--Juan de Fuca,Green,Salsman,Shaunna
59008,Esquimalt--Juan de Fuca,Liberal,Szpak,Lillian
59009,Fleetwood--Port Kells,Liberal,Dhanoa,Pam
59009,Fleetwood--Port Kells,NDP,Fernando,Nao
59009,Fleetwood--Port Kells,Conservative,Grewal,Nina
59009,Fleetwood--Port Kells,Libertarian,Joehl,Alex
59009,Fleetwood--Port Kells,Green,Saldanha,Alan
59010,Kamloops--Thompson--Cariboo,Green,Cavers,Donovan Michael
59010,Kamloops--Thompson--Cariboo,NDP,Crawford,Michael David
59010,Kamloops--Thompson--Cariboo,Christian Heritage,Kempling,Christopher
59010,Kamloops--Thompson--Cariboo,Conservative,McLeod,Cathy
59010,Kamloops--Thompson--Cariboo,Liberal,Todd,Murray
59011,Kelowna--Lake Country,Conservative,Cannan,Ron
59011,Kelowna--Lake Country,Green,Hooper,Alice
59011,Kelowna--Lake Country,NDP,Kalmanovitch,Tisha
59011,Kelowna--Lake Country,Liberal,Stewart,Kris
59012,Kootenay--Columbia,Liberal,Aitchison,Betty
59012,Kootenay--Columbia,Independent,Bush,Brent
59012,Kootenay--Columbia,Green,Green,Bill
59012,Kootenay--Columbia,NDP,Shmigelsky,Mark
59012,Kootenay--Columbia,Conservative,Wilks,David
59013,Langley,Liberal,Darnell,Rebecca
59013,Langley,NDP,Majkowski,Piotr
59013,Langley,Pirate,Nobbs,Craig
59013,Langley,Green,Poitras,Carey Ann
59013,Langley,Conservative,Warawa,Mark
59014,Nanaimo--Alberni,Marxist-Leninist,Biley,Barbara
59014,Nanaimo--Alberni,Green,Jespersen,Myron
59014,Nanaimo--Alberni,Conservative,Lunney,James
59014,Nanaimo--Alberni,NDP,Maartman,Zenaida
59014,Nanaimo--Alberni,Liberal,Miller,Renée Amber
59014,Nanaimo--Alberni,Pirate,Schroeder,Jesse
59014,Nanaimo--Alberni,Christian Heritage,Wagner,Frank
59015,Nanaimo--Cowichan,Green,Benoit,Anne Marie
59015,Nanaimo--Cowichan,NDP,Crowder,Jean
59015,Nanaimo--Cowichan,Marxist-Leninist,East,Jack
59015,Nanaimo--Cowichan,Liberal,Fillmore,Brian
59015,Nanaimo--Cowichan,Conservative,Koury,John
59016,Newton--North Delta,Liberal,Dhaliwal,Sukh
59016,Newton--North Delta,Conservative,Fallon,Mani
59016,Newton--North Delta,Independent,Gill,Ravi S.
59016,Newton--North Delta,Communist,Hammond,Samuel Frank
59016,Newton--North Delta,NDP,Sims,Jinny
59016,Newton--North Delta,Green,Walker,Liz
59017,New Westminster--Coquitlam,Conservative,Dilworth,Diana
59017,New Westminster--Coquitlam,NDP,Donnelly,Fin
59017,New Westminster--Coquitlam,Green,Helps,Rebecca
59017,New Westminster--Coquitlam,Liberal,Lee,Ken Beck
59017,New Westminster--Coquitlam,Marxist-Leninist,Verrier,Roland
59018,Okanagan--Shuswap,Green,Crockett,Greig
